	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
165	0.673	0.933	-3.45	0.0413	0.00388	0.687	0.657	0.353	124.958	157440.0
166	0.639	0.669	-7.574	0.0507	0.225	0.00117	0.1	0.57	116.22	240480.0
167	0.563	0.536	-9.488	0.0286	0.0874	0.000105	0.164	0.312	81.094	207360.0
168	0.625	0.758	-6.213	0.0463	0.512	0.00022	0.153	0.695	119.719	251253.0
169	0.709	0.768	-4.274	0.0324	0.0229	0.0	0.417	0.869	103.036	257374.0
170	0.643	0.614	-12.878	0.0279	0.25	7.17e-06	0.214	0.891	93.982	224467.0
171	0.268	0.459	-6.948	0.0346	0.378	0.0	0.119	0.172	64.223	179200.0
172	0.393	0.724	-5.54	0.0825	0.0676	0.0	0.205	0.147	89.684	196874.0
173	0.603	0.728	-11.892	0.0423	0.144	3.61e-05	0.653	0.95	117.046	393013.0
174	0.699	0.83	-4.898	0.0633	0.00243	0.00024	0.0995	0.889	105.809	219413.0
175	0.729	0.856	-4.164	0.035	0.0658	0.00832	0.0691	0.804	116.467	285093.0
176	0.522	0.744	-8.175	0.0371	0.027	0.682	0.0599	0.333	109.788	252053.0
177	0.531	0.626	-13.371	0.0452	0.0606	0.0	0.0767	0.746	88.236	227693.0
178	0.394	0.622	-8.258	0.0336	0.213	4.45e-05	0.0892	0.342	126.844	221427.0
179	0.706	0.841	-3.956	0.0418	7.95e-05	0.0	0.0688	0.861	132.032	220227.0
180	0.744	0.798	-5.981	0.0364	0.175	0.00367	0.26	0.89	125.061	268507.0
181	0.482	0.808	-7.176	0.065	0.0562	0.0	0.202	0.438	79.599	267293.0
182	0.739	0.81	-7.741	0.0608	0.0156	0.662	0.0302	0.852	122.47	432560.0
183	0.153	0.417	-11.587	0.0318	0.434	0.000622	0.211	0.166	80.87	273333.0
184	0.722	0.961	-4.812	0.0514	0.0883	0.61	0.278	0.91	126.113	229165.0
185	0.914	0.531	-9.816	0.0503	0.468	7.12e-06	0.0392	0.914	107.571	239613.0
186	0.56	0.412	-7.792	0.0298	0.583	0.0	0.188	0.297	122.919	195145.0
187	0.796	0.777	-4.81	0.0397	0.0261	0.000358	0.121	0.787	132.722	258893.0
188	0.638	0.867	-6.469	0.0331	0.144	0.000733	0.0846	0.805	115.692	243373.0
189	0.65	0.613	-6.13	0.128	0.00336	0.0	0.267	0.0804	149.972	194621.0
190	0.427	0.843	-4.54	0.0364	0.00216	0.0	0.179	0.304	147.387	200480.0
191	0.497	0.349	-14.0	0.0297	0.0929	0.028	0.259	0.421	113.762	365627.0
192	0.739	0.576	-12.024	0.0472	0.122	0.00206	0.0482	0.78	108.81	260427.0
193	0.55	0.618	-9.822	0.0307	0.0564	2.62e-05	0.0937	0.429	78.61	335240.0
194	0.551	0.833	-5.217	0.03	0.0391	2.77e-06	0.0632	0.145	129.885	204360.0
195	0.73	0.639	-11.025	0.0524	0.0853	0.00221	0.102	0.658	94.395	263747.0
196	0.675	0.649	-10.271	0.0319	0.0204	0.0	0.0959	0.596	116.624	228000.0
197	0.454	0.913	-4.008	0.107	0.408	0.000271	0.248	0.521	137.688	293183.0
198	0.916	0.72	-8.548	0.1	0.36	0.00016	0.0958	0.76	103.312	237000.0
199	0.782	0.589	-7.37	0.0803	0.0476	5.84e-06	0.0366	0.849	85.022	182960.0
200	0.461	0.965	-4.085	0.0825	0.00335	0.00157	0.0847	0.348	125.149	263054.0
201	0.425	0.298	-12.037	0.0258	0.0154	0.00133	0.0725	0.0929	75.038	251947.0
202	0.449	0.585	-6.761	0.0268	0.0509	8.75e-05	0.0833	0.212	139.631	278719.0
203	0.554	0.639	-7.163	0.0278	0.359	0.00274	0.205	0.644	180.638	304800.0
204	0.513	0.82	-5.428	0.0299	0.00192	2.83e-06	0.504	0.52	99.952	269400.0
205	0.651	0.949	-6.566	0.0403	0.00737	0.125	0.286	0.61	113.257	285733.0
206	0.691	0.825	-9.192	0.0434	0.00649	0.0179	0.286	0.517	123.717	218907.0
207	0.738	0.811	-6.035	0.182	0.0498	0.000167	0.102	0.504	171.76	266347.0
208	0.679	0.829	-7.288	0.0603	0.0875	2.78e-06	0.318	0.812	119.96	232080.0
209	0.676	0.996	-7.946	0.0397	0.0478	0.262	0.333	0.4	132.871	336840.0
210	0.584	0.76	-7.369	0.0359	0.0205	7.25e-06	0.1	0.325	104.101	341067.0
211	0.744	0.609	-11.202	0.0758	0.0883	0.0	0.0599	0.893	90.723	220733.0
212	0.516	0.549	-13.741	0.0373	0.501	0.00572	0.184	0.907	176.941	288733.0
213	0.611	0.0153	-37.492	0.0766	0.996	0.973	0.107	0.546	72.06	67292.0
214	0.543	0.87	-6.514	0.0428	0.358	0.000939	0.792	0.754	100.804	230400.0
215	0.489	0.578	-9.766	0.0418	0.234	0.0	0.123	0.511	78.111	222951.0
216	0.492	0.928	-4.037	0.071	0.61	0.00259	0.368	0.92	194.078	203453.0
217	0.677	0.556	-6.544	0.0306	0.263	0.0	0.105	0.521	80.006	179507.0
218	0.551	0.913	-4.063	0.0466	0.0263	1.35e-05	0.347	0.544	119.992	224493.0
219	0.491	0.655	-8.694	0.0372	0.0414	3.79e-06	0.321	0.446	89.978	187760.0
220	0.673	0.752	-7.978	0.0491	0.00309	0.0	0.112	0.576	120.041	265027.0
221	0.725	0.524	-11.121	0.116	0.0748	0.764	0.0819	0.961	185.134	203267.0
222	0.851	0.806	-4.62	0.0787	0.118	1.64e-06	0.121	0.787	118.999	237200.0
223	0.665	0.686	-5.849	0.0268	0.0518	0.000176	0.174	0.275	96.848	185694.0
224	0.505	0.938	-5.381	0.0432	0.0201	0.00218	0.177	0.961	161.842	157533.0
225	0.514	0.34	-12.779	0.0537	0.00142	0.0173	0.213	0.269	145.992	300827.0
226	0.588	0.644	-9.547	0.0338	0.0928	0.0472	0.092	0.49	95.647	255533.0
227	0.574	0.628	-8.815	0.036	0.13	0.0	0.271	0.803	153.119	300107.0
228	0.671	0.771	-4.821	0.0316	0.00492	7.28e-06	0.354	0.436	90.003	223546.0
229	0.737	0.88	-6.449	0.0433	0.00379	0.00351	0.417	0.329	115.998	316813.0
230	0.398	0.57	-7.068	0.034	0.056	0.00125	0.0606	0.234	140.974	304213.0
231	0.592	0.767	-2.788	0.027	0.0021	0.00165	0.127	0.328	96.483	329733.0
232	0.685	0.584	-10.616	0.0276	0.288	0.00918	0.124	0.939	134.546	302413.0
233	0.767	0.787	-9.897	0.0331	0.0163	0.583	0.0513	0.964	126.879	266200.0
234	0.561	0.431	-8.81	0.0578	0.768	1.42e-05	0.106	0.137	143.875	242013.0
235	0.747	0.716	-2.457	0.075	0.135	0.0	0.251	0.751	125.008	210627.0
236	0.601	0.859	-5.263	0.0276	0.000359	0.00124	0.0871	0.446	125.145	258027.0
237	0.655	0.675	-9.352	0.0599	0.272	0.0236	0.727	0.587	77.589	427800.0
238	0.535	0.972	-4.428	0.0844	0.00131	0.000471	0.0788	0.436	124.971	208707.0
239	0.933	0.528	-6.472	0.162	0.112	0.329	0.163	0.756	109.975	214653.0
240	0.707	0.514	-8.885	0.0281	0.58	0.000159	0.0953	0.524	86.035	269840.0
241	0.4	0.647	-7.279	0.0337	0.176	5.79e-05	0.11	0.274	84.08	221520.0
242	0.392	0.329	-7.727	0.0456	0.782	0.0	0.099	0.213	91.04	181267.0
243	0.651	0.516	-13.628	0.0277	0.00244	5.93e-05	0.0973	0.453	115.154	388800.0
244	0.447	0.316	-15.068	0.0326	0.613	0.00993	0.0803	0.273	171.946	277853.0
245	0.743	0.873	-4.943	0.0507	0.14	0.0	0.142	0.965	125.005	238707.0
246	0.671	0.777	-5.874	0.0356	0.0184	0.00289	0.128	0.703	130.129	264253.0
247	0.776	0.591	-11.438	0.0613	0.000443	0.0521	0.271	0.698	103.067	394933.0
248	0.546	0.814	-5.146	0.0314	0.023	0.0	0.0972	0.146	104.98	285653.0
249	0.321	0.522	-7.349	0.0339	0.404	9.56e-06	0.0922	0.456	202.689	288080.0
250	0.64	0.743	-4.08	0.0379	0.269	0.0	0.101	0.361	122.035	262533.0
251	0.833	0.934	-3.243	0.0313	0.343	7.55e-06	0.0521	0.964	121.879	268533.0
252	0.654	0.641	-9.771	0.0482	0.00535	0.00321	0.209	0.794	114.696	247600.0
253	0.679	0.568	-10.74	0.0423	0.422	0.00928	0.322	0.93	159.69	242640.0
254	0.81	0.793	-9.404	0.0403	0.0378	1.77e-06	0.072	0.863	116.05	369627.0
255	0.878	0.821	-9.875	0.089	0.126	0.0461	0.183	0.947	118.881	365467.0
256	0.565	0.646	-4.749	0.0335	0.0412	0.0	0.362	0.481	91.973	213413.0
257	0.763	0.628	-5.85	0.05	0.0531	0.0	0.114	0.193	140.958	190557.0
258	0.733	0.451	-12.343	0.0393	0.0712	0.00135	0.242	0.491	120.027	233273.0
259	0.365	0.513	-13.034	0.0357	0.0208	0.000147	0.205	0.739	80.647	331200.0
260	0.701	0.944	-2.986	0.0455	0.0755	0.0	0.601	0.792	128.993	197707.0
261	0.689	0.774	-4.528	0.0278	8.72e-05	0.0	0.0941	0.25	102.054	236600.0
262	0.624	0.763	-8.699	0.0865	0.0263	0.000788	0.0761	0.752	154.768	302773.0
263	0.733	0.723	-6.639	0.0302	0.211	0.0753	0.0869	0.275	120.017	197125.0
264	0.62	0.446	-14.451	0.0347	0.589	0.0299	0.0727	0.868	88.591	155880.0
265	0.622	0.791	-6.106	0.0535	0.00188	3.72e-06	0.083	0.494	115.915	225960.0
266	0.641	0.894	-7.41	0.0273	0.0857	0.009	0.157	0.972	109.823	199453.0
267	0.58	0.575	-7.72	0.0231	0.25	1.83e-05	0.0813	0.37	92.934	235173.0
268	0.569	0.968	-3.72	0.0487	0.00108	0.00153	0.0814	0.568	117.783	346533.0
