,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
"1812 Festival Overture, Op. 49: 1812 Overture, Op. 49: Finale",0.233,0.537,-13.141,0.0616,0.482,0.773,0.0789,0.0857,85.021,229000.0
"Mozart: Serenade No. 13 in G Major, K. 525 'Eine kleine Nachtmusik': I. Allegro",0.492,0.136,-18.839,0.0463,0.948,0.893,0.0726,0.445,135.786,351493.0
"Toccata and Fugue in D minor, BWV 565 - Toccata",0.193,0.199,-12.866,0.0374,0.747,0.888,0.144,0.107,132.879,168720.0
William Tell Overture,0.324,0.682,-10.208,0.0619,0.763,0.658,0.127,0.645,169.329,184320.0
The Blue Danube Waltz Op 314,0.261,0.096,-16.459,0.0359,0.952,0.915,0.191,0.194,84.137,618973.0
O Fortuna from Carmina Burana - Vocal,0.319,0.257,-18.167,0.0334,0.742,0.48,0.109,0.65,138.726,158221.0
"Also sprach Zarathustra, Op.30, TrV 176: Prelude (Sonnenaufgang)",0.115,0.301,-13.321,0.0449,0.637,0.935,0.154,0.0409,77.276,109667.0
"Orpheus in the Underworld: Infernal Galop ""Can-Can"" - Live",0.407,0.816,-11.431,0.0535,0.83,0.844,0.141,0.658,82.285,129307.0
"The Messiah, HWV 56: Hallelujah Chorus",0.477,0.405,-11.441,0.0294,0.958,0.226,0.269,0.492,112.235,212173.0
Carmen Suite No. 1: 5. Les toréadors,0.335,0.372,-16.127,0.037,0.697,5.36e-05,0.141,0.821,127.129,138000.0
Sabre Dance,0.265,0.431,-14.705,0.0403,0.847,0.896,0.386,0.714,178.356,86400.0
"IV. ""Ode to Joy"" (excerpt) from Symphony No. 9 in D minor, Op. 125 - Voice",0.236,0.218,-16.919,0.0435,0.955,0.578,0.0701,0.0572,147.29,776360.0
"Peer Gynt Suite No. 1, Op. 46: In The Hall Of The Mountain King",0.392,0.156,-18.118,0.0385,0.953,0.956,0.0843,0.535,132.058,145467.0
Dance Of The Hours (from La Gioconda),0.314,0.114,-22.542,0.0695,0.847,0.294,0.0978,0.133,83.764,210720.0
Hungarian Rhapsody No 2,0.273,0.0771,-21.848,0.0475,0.951,0.782,0.394,0.172,149.319,732000.0
"A Midsummer Night's Dream, Incidental Music, Op.61, MWV M 13: No.9 Wedding March",0.334,0.232,-11.967,0.034,0.964,0.938,0.0644,0.109,73.931,306933.0
"Tsar Saltan, Op. 57: Flight of the Bumblebee",0.458,0.11,-22.234,0.0309,0.977,0.903,0.359,0.481,83.43,84267.0
Rhapsody in Blue,0.305,0.184,-18.342,0.0409,0.969,0.781,0.132,0.0771,70.813,987267.0
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",0.184,0.00527,-37.264,0.0432,0.995,0.887,0.173,0.151,170.612,315427.0
Boléro (Ravel),0.278,0.273,-18.535,0.0529,0.435,0.912,0.0387,0.208,142.737,934067.0
Dance of the Sugar Plum Fairy,0.269,0.0224,-30.204,0.0318,0.924,0.909,0.065,0.0892,104.721,124120.0
Over The Waves (Rosas),0.127,0.117,-17.191,0.0441,0.92,0.541,0.0822,0.0791,168.012,377000.0
"Orchestral Suite #3 In D, BWV 1068 - Air ""On The G String""",0.736,0.0332,-27.036,0.118,0.993,0.891,0.112,0.35,121.961,297261.0
"Die Zauberflote (The Magic Flute), K. 620, Act II: Der Holle Rache... (Queen of the Night)",0.476,0.202,-11.397,0.0435,0.973,0.0201,0.108,0.307,135.829,199467.0
Für Elise,0.303,0.108,-27.433,0.0473,0.994,0.877,0.0805,0.18,126.931,188467.0
